bet_band,Season,Week,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_clv,beat_close_rate,avg_confidence_score
High Confidence,2021,16,1,0,0.0,-1.0,0.4651162790697674,0.0361516213691442,0.0361516213691442,0.0361516213691442,1.0,0.036151621369144196
High Confidence,2022,9,1,1,1.0,1.075,0.4819277108433735,0.0460498976797292,0.0460498976797292,0.0460498976797292,1.0,0.0460498976797292
High Confidence,2022,11,1,0,0.0,-1.0,0.5,0.0504231436243972,0.0504231436243972,0.0504231436243972,1.0,0.05042314362439719
High Confidence,2022,13,1,0,0.0,-1.0,0.5238095238095238,0.0494476855552828,0.0494476855552828,0.0494476855552828,1.0,0.0494476855552828
High Confidence,2022,14,1,0,0.0,-1.0,0.4761904761904761,0.0479935008509871,0.0479935008509871,0.0479935008509871,1.0,0.047993500850987095
High Confidence,2022,15,1,0,0.0,-1.0,0.5238095238095238,0.0505450438047294,0.0505450438047294,0.0505450438047294,1.0,0.05054504380472939
High Confidence,2022,18,1,1,1.0,0.9090909090909092,0.5238095238095238,0.0322568324727678,0.0322568324727678,0.0322568324727678,1.0,0.032256832472767796
High Confidence,2023,1,1,1,1.0,1.0,0.5,0.0281778272335047,0.0281778272335047,0.0281778272335047,1.0,0.0281778272335047
High Confidence,2023,3,1,0,0.0,-1.0,0.5238095238095238,0.0484845520010267,0.0484845520010267,0.0484845520010267,1.0,0.0484845520010267
High Confidence,2023,8,1,0,0.0,-1.0,0.4716981132075472,0.0306459982868644,0.0306459982868644,0.0306459982868644,1.0,0.0306459982868644
High Confidence,2023,12,1,0,0.0,-1.0,0.4878048780487805,0.0480561061192996,0.0480561061192996,0.0480561061192996,1.0,0.0480561061192996
High Confidence,2023,13,1,0,0.0,-1.0,0.4672897196261682,0.051740481919391,0.051740481919391,0.051740481919391,1.0,0.05174048191939099
High Confidence,2023,16,1,1,1.0,0.966183574879227,0.5085995085995086,0.0498520321325058,0.0498520321325058,0.0498520321325058,1.0,0.049852032132505796
High Confidence,2023,18,1,1,1.0,1.03,0.4926108374384236,0.0418256448978051,0.0418256448978051,0.0418256448978051,1.0,0.0418256448978051
High Confidence,2024,1,1,0,0.0,-1.0,0.504950495049505,0.0410752185583436,0.0410752185583436,0.0410752185583436,1.0,0.0410752185583436
High Confidence,2024,5,1,1,1.0,0.8333333333333334,0.5454545454545454,0.0323276650554166,0.0323276650554166,0.0323276650554166,1.0,0.03232766505541659
High Confidence,2024,7,1,1,1.0,1.05,0.4878048780487805,0.0322682537618189,0.0322682537618189,0.0322682537618189,1.0,0.0322682537618189
High Confidence,2024,22,1,1,1.0,0.9803921568627452,0.504950495049505,0.0370629209179296,0.0370629209179296,0.0370629209179296,1.0,0.03706292091792959
High Confidence,2025,5,1,1,1.0,1.0,0.5,0.0513468851237298,0.0513468851237298,0.0513468851237298,1.0,0.0513468851237298
High Confidence,2025,12,1,0,0.0,-1.0,0.4830917874396135,0.0492019887694708,0.0492019887694708,0.0492019887694708,1.0,0.0492019887694708
High Confidence,2025,14,1,0,0.0,-1.0,0.5121951219512195,0.0469404200072347,0.0469404200072347,0.0469404200072347,1.0,0.0469404200072347
High Confidence,2025,15,1,0,0.0,-1.0,0.5098039215686274,0.0398029660270476,0.0398029660270476,0.0398029660270476,1.0,0.039802966027047595
