Season,Week,game_date,home_team,away_team,has_odds
2018,13,2018-12-02,Lions,Rams,
2018,13,2018-12-02,Falcons,Ravens,
2018,13,2018-12-02,Patriots,Vikings,
2018,13,2018-12-03,Eagles,Redskins,
2018,14,2018-12-06,Titans,Jaguars,
2018,14,2018-12-09,Chargers,Bengals,
2018,14,2018-12-09,49ers,Broncos,
2018,14,2018-12-09,Texans,Colts,
2018,14,2018-12-09,Cowboys,Eagles,
2018,14,2018-12-09,Packers,Falcons,
2018,14,2018-12-09,Redskins,Giants,
2018,14,2018-12-09,Bills,Jets,
2018,14,2018-12-09,Cardinals,Lions,
2018,14,2018-12-09,Browns,Panthers,
2018,14,2018-12-09,Dolphins,Patriots,
2018,14,2018-12-09,Bears,Rams,
2018,14,2018-12-09,Chiefs,Ravens,
2018,14,2018-12-09,Buccaneers,Saints,
2018,14,2018-12-09,Raiders,Steelers,
2018,14,2018-12-10,Seahawks,Vikings,
2018,15,2018-12-13,Chiefs,Chargers,
2018,15,2018-12-15,Broncos,Browns,
2018,15,2018-12-15,Jets,Texans,
2018,15,2018-12-16,Ravens,Buccaneers,
2018,15,2018-12-16,Falcons,Cardinals,
2018,15,2018-12-16,Colts,Cowboys,
2018,15,2018-12-16,Vikings,Dolphins,
2018,15,2018-12-16,Rams,Eagles,
2018,15,2018-12-16,Bills,Lions,
2018,15,2018-12-16,Bears,Packers,
2018,15,2018-12-16,Steelers,Patriots,
2018,15,2018-12-16,Bengals,Raiders,
2018,15,2018-12-16,Jaguars,Redskins,
2018,15,2018-12-16,49ers,Seahawks,
2018,15,2018-12-16,Giants,Titans,
2018,15,2018-12-17,Panthers,Saints,
2018,16,2018-12-22,Chargers,Ravens,
2018,16,2018-12-22,Titans,Redskins,
2018,16,2018-12-23,49ers,Bears,
2018,16,2018-12-23,Browns,Bengals,
2018,16,2018-12-23,Patriots,Bills,
2018,16,2018-12-23,Cowboys,Buccaneers,
2018,16,2018-12-23,Seahawks,Chiefs,
2018,16,2018-12-23,Panthers,Falcons,
2018,16,2018-12-23,Colts,Giants,
2018,16,2018-12-23,Dolphins,Jaguars,
2018,16,2018-12-23,Jets,Packers,
2018,16,2018-12-23,Cardinals,Rams,
2018,16,2018-12-23,Saints,Steelers,
2018,16,2018-12-23,Eagles,Texans,
2018,16,2018-12-23,Lions,Vikings,
2018,16,2018-12-24,Raiders,Broncos,
2018,17,2018-12-30,Rams,49ers,
2018,17,2018-12-30,Vikings,Bears,
2018,17,2018-12-30,Steelers,Bengals,
2018,17,2018-12-30,Ravens,Browns,
2018,17,2018-12-30,Seahawks,Cardinals,
2018,17,2018-12-30,Broncos,Chargers,
2018,17,2018-12-30,Titans,Colts,
2018,17,2018-12-30,Giants,Cowboys,
2018,17,2018-12-30,Bills,Dolphins,
2018,17,2018-12-30,Redskins,Eagles,
2018,17,2018-12-30,Buccaneers,Falcons,
2018,17,2018-12-30,Texans,Jaguars,
2018,17,2018-12-30,Patriots,Jets,
2018,17,2018-12-30,Packers,Lions,
2018,17,2018-12-30,Saints,Panthers,
2018,17,2018-12-30,Chiefs,Raiders,
2018,19,2019-01-05,Texans,Colts,
2018,19,2019-01-05,Cowboys,Seahawks,
2018,19,2019-01-06,Ravens,Chargers,
2018,19,2019-01-06,Bears,Eagles,
2018,20,2019-01-12,Chiefs,Colts,
2018,20,2019-01-12,Rams,Cowboys,
2018,20,2019-01-13,Patriots,Chargers,
2018,20,2019-01-13,Saints,Eagles,
2018,21,2019-01-20,Chiefs,Patriots,
2018,21,2019-01-20,Saints,Rams,
2018,22,2019-02-03,Rams,Patriots,
2019,1,2019-09-05,Bears,Packers,
2019,1,2019-09-08,Buccaneers,49ers,
2019,1,2019-09-08,Seahawks,Bengals,
2019,1,2019-09-08,Jets,Bills,
2019,1,2019-09-08,Jaguars,Chiefs,
2019,1,2019-09-08,Chargers,Colts,
2019,1,2019-09-08,Vikings,Falcons,
2019,1,2019-09-08,Cowboys,Giants,
2019,1,2019-09-08,Cardinals,Lions,
2019,1,2019-09-08,Panthers,Rams,
2019,1,2019-09-08,Dolphins,Ravens,
2019,1,2019-09-08,Eagles,Redskins,
2019,1,2019-09-08,Patriots,Steelers,
2019,1,2019-09-08,Browns,Titans,
2019,1,2019-09-09,Raiders,Broncos,
2019,1,2019-09-09,Saints,Texans,
2019,2,2019-09-12,Panthers,Buccaneers,
2019,2,2019-09-15,Bengals,49ers,
2019,2,2019-09-15,Broncos,Bears,
2019,2,2019-09-15,Giants,Bills,
2019,2,2019-09-15,Ravens,Cardinals,
2019,2,2019-09-15,Lions,Chargers,
2019,2,2019-09-15,Raiders,Chiefs,
2019,2,2019-09-15,Titans,Colts,
2019,2,2019-09-15,Redskins,Cowboys,
2019,2,2019-09-15,Falcons,Eagles,
2019,2,2019-09-15,Texans,Jaguars,
2019,2,2019-09-15,Dolphins,Patriots,
2019,2,2019-09-15,Rams,Saints,
2019,2,2019-09-15,Steelers,Seahawks,
2019,2,2019-09-15,Packers,Vikings,
2019,2,2019-09-16,Jets,Browns,
2019,3,2019-09-19,Jaguars,Titans,
2019,3,2019-09-22,Bills,Bengals,
2019,3,2019-09-22,Packers,Broncos,
2019,3,2019-09-22,Cowboys,Dolphins,
2019,3,2019-09-22,Colts,Falcons,
2019,3,2019-09-22,Buccaneers,Giants,
2019,3,2019-09-22,Patriots,Jets,
2019,3,2019-09-22,Eagles,Lions,
2019,3,2019-09-22,Cardinals,Panthers,
2019,3,2019-09-22,Vikings,Raiders,
2019,3,2019-09-22,Browns,Rams,
2019,3,2019-09-22,Chiefs,Ravens,
2019,3,2019-09-22,Seahawks,Saints,
2019,3,2019-09-22,49ers,Steelers,
2019,3,2019-09-22,Chargers,Texans,
2019,3,2019-09-23,Redskins,Bears,
2019,4,2019-09-26,Packers,Eagles,
2019,4,2019-09-29,Ravens,Browns,
2019,4,2019-09-29,Rams,Buccaneers,
2019,4,2019-09-29,Dolphins,Chargers,
2019,4,2019-09-29,Lions,Chiefs,
2019,4,2019-09-29,Saints,Cowboys,
