game_id,Season,Week,game_date,game_date_str,AwayTeam,HomeTeam,season_type,week_sort,team,total_plays,offensive_plays,pass_plays,rush_plays,sacks,punts,field_goal_plays,turnovers,penalties,first_downs,touchdowns,scoring_plays,scoring_drives,red_zone_plays,explosive_passes,explosive_runs,drive_count,pass_rate,rush_rate,explosive_play_rate,scoring_drive_rate,home_or_away
2019_2019-11-24_giants_at_bears,2019,Week 12,2019-11-24,2019-11-24,Giants,Bears,regular,12.0,Giants,74,60,39,21,1,5,2,1,4,0,2,4,1,0,0,4,8,0.65,0.35,0.06666666666666667,0.125,away
2019_2019-11-24_jaguars_at_titans,2019,Week 12,2019-11-24,2019-11-24,Jaguars,Titans,regular,12.0,Jaguars,100,83,55,28,2,6,2,1,11,0,2,4,1,0,4,3,6,0.6626506024096386,0.3373493975903614,0.08433734939759036,0.16666666666666666,away
2019_2019-11-24_jaguars_at_titans,2019,Week 12,2019-11-24,2019-11-24,Jaguars,Titans,regular,12.0,Titans,72,54,23,31,2,3,0,2,7,0,7,12,1,0,5,3,5,0.42592592592592593,0.5740740740740741,0.14814814814814814,0.2,home
2019_2019-11-24_lions_at_redskins,2019,Week 12,2019-11-24,2019-11-24,Lions,Redskins,regular,12.0,Commanders,79,57,33,24,3,5,4,2,5,0,1,6,1,0,3,4,7,0.5789473684210527,0.42105263157894735,0.12280701754385964,0.14285714285714285,unknown
2019_2019-11-24_lions_at_redskins,2019,Week 12,2019-11-24,2019-11-24,Lions,Redskins,regular,12.0,Lions,94,73,41,32,6,4,4,4,9,0,1,5,1,0,2,7,6,0.5616438356164384,0.4383561643835616,0.1232876712328767,0.16666666666666666,away
2019_2019-11-24_packers_at_49ers,2019,Week 12,2019-11-24,2019-11-24,Packers,49ers,regular,12.0,49ers,64,48,25,23,4,4,3,0,3,0,4,11,1,0,3,3,8,0.5208333333333334,0.4791666666666667,0.125,0.125,home
2019_2019-11-24_packers_at_49ers,2019,Week 12,2019-11-24,2019-11-24,Packers,49ers,regular,12.0,Packers,97,79,49,30,6,6,0,1,12,0,1,1,1,0,0,4,8,0.620253164556962,0.379746835443038,0.05063291139240506,0.125,away
2019_2019-11-24_panthers_at_saints,2019,Week 12,2019-11-24,2019-11-24,Panthers,Saints,regular,12.0,Panthers,97,74,45,29,4,3,3,0,11,0,5,7,1,0,3,3,6,0.6081081081081081,0.3918918918918919,0.08108108108108109,0.16666666666666666,away
2019_2019-11-24_panthers_at_saints,2019,Week 12,2019-11-24,2019-11-24,Panthers,Saints,regular,12.0,Saints,84,64,45,19,2,2,2,2,9,0,4,10,1,0,5,2,6,0.703125,0.296875,0.109375,0.16666666666666666,home
2019_2019-11-24_raiders_at_jets,2019,Week 12,2019-11-24,2019-11-24,Raiders,Jets,regular,12.0,Jets,76,63,33,30,2,4,3,0,4,0,4,8,1,0,7,2,7,0.5238095238095238,0.47619047619047616,0.14285714285714285,0.14285714285714285,home
