Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2020,Week 17,2021-01-03,Steelers,Browns,home,-110,0.9369146154572704,0.5238095238095238,0.4131050916477465,5.017236343440439,45.56702181805795
2017,Week 3,2017-09-24,Browns,Colts,home,-110,0.93642744552046,0.5238095238095238,0.4126179217109361,6.027450219212726,60.73851497930168
2017,Week 11,2017-11-19,Bills,Chargers,home,-110,0.9363252167077882,0.5238095238095238,0.4125156928982644,18.41564536444058,77.74344815045849
2017,Week 1,2017-09-11,Chargers,Broncos,home,-110,0.9356635851313616,0.5238095238095238,0.4118540613218377,8.075882314948236,46.0622268595437
2018,Week 5,2018-10-08,,Saints,home,-110,0.9339410265301166,0.5238095238095238,0.4101315027205927,16.479524577557253,55.94664352771152
2020,Week 5,2020-10-13,Bills,Titans,home,-110,0.9336414896948544,0.5238095238095238,0.4098319658853305,21.98814313283671,59.54376233136489
2017,Week 2,2017-09-17,Packers,Falcons,home,-110,0.932856571489357,0.5238095238095238,0.4090470476798331,10.60538008831032,56.16291142027909
2019,Week 6,2019-10-10,Giants,Patriots,home,-110,0.932836920614333,0.5238095238095238,0.4090273968048091,18.58527008013166,45.03300429504547
2020,Week 1,2020-09-13,Cowboys,Rams,home,-110,0.9324444408730532,0.5238095238095238,0.4086349170635294,7.227214055699387,39.43125180285661
2018,Week 12,2018-11-25,Steelers,Broncos,home,-110,0.9324436609907196,0.5238095238095238,0.4086341371811958,10.022120779503268,40.49561364222699
2018,Week 16,2018-12-24,Broncos,Raiders,home,-110,0.931872359328428,0.5238095238095238,0.4080628355189042,12.997819912306026,40.40508334996716
2018,Week 13,2018-12-02,Panthers,Buccaneers,home,-110,0.9314691858504164,0.5238095238095238,0.4076596620408925,9.363906937827876,42.75056771737737
2017,Week 2,2017-09-17,Vikings,Steelers,home,-110,0.9313953839790688,0.5238095238095238,0.407585860169545,12.118337732308024,34.96952950956501
2020,Week 15,2020-12-20,Lions,Titans,home,-110,0.9301572880305052,0.5238095238095238,0.4063477642209814,15.385441010726408,68.33778889098735
2019,Week 7,2019-10-20,Chargers,Titans,home,-110,0.9294081446265444,0.5238095238095238,0.4055986208170206,7.682995895015227,44.3206309699973
2018,Week 15,2018-12-16,Buccaneers,Ravens,home,-110,0.9289375426002824,0.5238095238095238,0.4051280187907585,10.592407997554249,33.08370973240175
2020,Week 2,2020-09-17,Bengals,Browns,home,-110,0.9284811843589416,0.5238095238095238,0.4046716605494177,11.257774034885564,68.35027692855606
2017,Week 13,2017-12-03,Giants,Raiders,home,-110,0.9276798395180073,0.5238095238095238,0.4038703157084834,7.733850122701589,42.87037332023748
2017,Week 6,2017-10-15,Lions,Saints,home,-110,0.9275537443728836,0.5238095238095238,0.4037442205633598,14.728933956561482,86.06296498412574
2019,Week 1,2019-09-08,Steelers,Patriots,home,-110,0.927479458342374,0.5238095238095238,0.4036699345328501,19.010336282569803,36.416742255508886
2018,Week 12,2018-11-26,Titans,Texans,home,-110,0.9269381193830842,0.5238095238095238,0.4031285955735604,14.10024276571146,51.11965472701897
