game_id,Season,week_num,Date,AwayTeam,HomeTeam,home_score,away_score,margin,total_points,home_win,away_win,PostSeason
2023_17_Jets_Browns,2023,17,12/28,Jets,Browns,37.0,20.0,17.0,57.0,1,0,0
2023_17_Lions_Cowboys,2023,17,12/30,Lions,Cowboys,20.0,19.0,1.0,39.0,1,0,0
2023_17_Dolphins_Ravens,2023,17,12/31,Dolphins,Ravens,56.0,19.0,37.0,75.0,1,0,0
2023_17_Patriots_Bills,2023,17,12/31,Patriots,Bills,27.0,21.0,6.0,48.0,1,0,0
2023_17_Falcons_Bears,2023,17,12/31,Falcons,Bears,37.0,17.0,20.0,54.0,1,0,0
2023_17_Titans_Texans,2023,17,12/31,Titans,Texans,26.0,3.0,23.0,29.0,1,0,0
2023_17_Raiders_Colts,2023,17,12/31,Raiders,Colts,23.0,20.0,3.0,43.0,1,0,0
2023_17_Panthers_Jaguars,2023,17,12/31,Panthers,Jaguars,26.0,0.0,26.0,26.0,1,0,0
2023_17_Rams_Giants,2023,17,12/31,Rams,Giants,25.0,26.0,-1.0,51.0,0,1,0
2023_17_Cardinals_Eagles,2023,17,12/31,Cardinals,Eagles,31.0,35.0,-4.0,66.0,0,1,0
2023_17_Saints_Buccaneers,2023,17,12/31,Saints,Buccaneers,13.0,23.0,-10.0,36.0,0,1,0
2023_17_49ers_Commanders,2023,17,12/31,49ers,Commanders,10.0,27.0,-17.0,37.0,0,1,0
2023_17_Steelers_Seahawks,2023,17,12/31,Steelers,Seahawks,23.0,30.0,-7.0,53.0,0,1,0
2023_17_Chargers_Broncos,2023,17,12/31,Chargers,Broncos,16.0,9.0,7.0,25.0,1,0,0
2023_17_Bengals_Chiefs,2023,17,12/31,Bengals,Chiefs,25.0,17.0,8.0,42.0,1,0,0
2023_17_Packers_Vikings,2023,17,12/31,Packers,Vikings,10.0,33.0,-23.0,43.0,0,1,0
2023_18_Steelers_Ravens,2023,18,01/06,Steelers,Ravens,10.0,17.0,-7.0,27.0,0,1,0
2023_18_Texans_Colts,2023,18,01/06,Texans,Colts,19.0,23.0,-4.0,42.0,0,1,0
2023_18_Buccaneers_Panthers,2023,18,01/07,Buccaneers,Panthers,0.0,9.0,-9.0,9.0,0,1,0
2023_18_Browns_Bengals,2023,18,01/07,Browns,Bengals,31.0,14.0,17.0,45.0,1,0,0
2023_18_Vikings_Lions,2023,18,01/07,Vikings,Lions,30.0,20.0,10.0,50.0,1,0,0
2023_18_Jets_Patriots,2023,18,01/07,Jets,Patriots,3.0,17.0,-14.0,20.0,0,1,0
2023_18_Falcons_Saints,2023,18,01/07,Falcons,Saints,48.0,17.0,31.0,65.0,1,0,0
2023_18_Jaguars_Titans,2023,18,01/07,Jaguars,Titans,28.0,20.0,8.0,48.0,1,0,0
